date;parcelle;bloc;variete;culture;plante;nb_feuille;H_fev;d_collet;h_tige;weight_fresh;weight_dry;h-tige 2;H_tige_verte;nb_piqures;Piqures;Pollen_beetle;splitting;nb_ramification;bushy;Tortuotype;tortuo_A;tortuo_B;tortuo_C
02.11.2022;52;2;3;asso;2;10;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;asso;3;5;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;asso;4;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;asso;5;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;asso;6;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;asso;7;3;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;asso;8;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;asso;9;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;asso;10;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;asso;11;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;asso;12;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;asso;13;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;asso;14;4;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;asso;15;4;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;asso;1;5;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;asso;2;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;asso;3;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;asso;4;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;asso;5;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;asso;6;5;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;asso;7;4;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;asso;8;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;asso;9;4;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;asso;10;5;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;asso;11;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;asso;12;5;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;asso;13;3;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;asso;14;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;asso;15;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;1;asso;1;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;1;asso;2;3;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;1;asso;3;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;1;asso;4;3;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;1;asso;5;5;;na;na;;;;#VALEUR!;;0;;;;;;;;
